"lista","EJ.1.A","EJ.1.B","EJ.1.C","Total.E1","EJ.2.A","EJ.2.B","EJ.2.C","EJ.2D","EJ.2E","EJ.2F","Total.E2","Puntaje.total","HW3_grade","partner_number","answer_1_c","AI","favorable","HW_1","HW_2","HW_3","Midterm_25","Midterm_25.1","Exam_35","Final_grade","Final_grade_excluding_HW_3"
"0cb0a891ca334d9e09c9f12c5d1fda4c657b693e5eb832f9deb7d93b649da340",10,10,10,30,10,"4,5","10",10,10,10,"54,5","84,5","6,6","060683e08100716fb9a2c681306b95df4b60e6112f7eb7e1a54b652eccdfefaa","Hay dos posibilidades ya que no sabemos si en Brasil al igual que en Chile el colegio del que egresó el candidato es una señal relevante:
• Caso 1: si Brasil, al igual que en Chile elige a los candidatos por el colegio del que egresaron entonces el sistema de cuotas
aumentaría aún más la discriminación, ya que además de no haber salido de un colegio de elite, al tener un puntaje para entrar a la universidad más bajo se podría pensar que son menos capaces que los que entraron con el puntaje de corte de libre competencia, disminuyendo así el valor de su señal de educación superior, agravando la discriminación a negros y pueblos indígenas.
• Caso 2: si Brasil a diferencia de Chile no considera el colegio de egreso como una señal importante a la hora de contratar, pero si el lugar de egreso en educación superior, entonces disminuiría la discriminación ya que el sistema de cuotas le da oportunidades a los que tuvieron menos preparación en el colegio o tienen menos oportunidades en otros ámbitos de poder acceder a una educación superior, aportando así la señal de una buena educación superior a la hora de estar en un proceso de contratación.",100,0,7,6.5,6.6,5.3,6.4,5.75,5.9,84.39849624
"d8f8c0fa8161591f444fe6c11a9905b2b2e070ad7542c5a0273b37dea7ed34df",10,5,7,22,10,"5","10",7,10,10,"52","74","5,9","a019cd4f9ce196756e0df5d2ee9e074996318196c9fdbdfeae1cfd0fda7eb45b","La política implementada busca que jóvenes provenientes de colegios públicos, negros y/o de pueblos indígenas tengan acceso a mejores oportunidades. Es por esto, que al facilitar su acceso a Universidades prestigiosas mejoran sus señales, ya que es posible que sin la política entren a peores Universidades, o que ni siquiera entren. De esta manera, la política implementada es una forma de ""igualar la cancha"" entre los jóvenes. Por lo tanto, cuando los jóvenes egresen de la Universidad, es más probable que las firmas se enfoquen en el título Universitario, que el colegio de egreso. Respecto a la discriminación contra los negros y los pueblos indígenas, en el ámbito laboral debería disminuir, ya que al salir de buenas Universidades envían una señal a las firmas de ser buenos, por lo que estas tendrían incentivos a contratarlos para de esta manera maximizar las ganancias de la empresa.",65,1,6.3,7,5.9,4.5,5.3,5.9,5.5,77.89473684
"ddcc5579ec111f7d662ae8d5c264a19808b6e614de843edead312996640a376e",10,5,10,25,3,"5","10",7,10,10,"45","70","5,7","25c8cef1e1cce8fe1280473ac86b719266a2358e7a0c0985a2d3c07da87f6416","La implementación de cuotas en Brasil puede llevar a las empresas a considerar aspectos más allá de la educación. Esto se debe a que personas con mayores puntajes en exámenes pueden no ser admitidas debido a las cuotas, mientras que otras con puntajes menores sí estén ingresando, lo que genera una percepción de inconsistencia. Por lo tanto, las empresas no pueden garantizar la calidad de los trabajadores basándose solo en la institución educativa, haciendo que otros factores se vuelvan importantes en el proceso de selección.

Esta situación ambigua puede resultar en discriminación contra aquellos que, aunque tuviesen buena educación, al beneficiarse de las cuotas de equidad, los empleadores pueden dudar de sus capacidades, pensando que su admisión fue facilitada al requerir de puntajes menores, por lo que esto podría intensificar la discriminación hacia los afrodescendientes o indígenas, buscando solo contratar a los individuos que ingresaron de manera competitiva, con el fin de evitar el riesgo de la contratación de individuos en teoría menos capaces.",33,0,7,6.7,5.7,4.5,5.4,4.7,5.1,72.2556391
"8cc5b35aa8f36e1ab1330f9964896ad2eecae2b1760473980f3dab024d518178",10,10,10,30,5,"9","10",10,10,10,"54","84","6,6","88801206d6f33a55229e76eef908df2bafc609c1efff724956e8f56c24250947","La política de cuotas en Brasil busca ampliar la participación de grupos históricamente excluidos, como afrodescendientes e indígenas, en la educación superior y el ámbito laboral. Esta iniciativa tiene como objetivo disminuir las brechas sociales existentes y promover una sociedad más justa. No obstante, su efectividad en la erradicación de conductas elitistas y discriminatorias en los procesos de contratación aún genera debate. 
La política de cuotas, al introducir mayor diversidad en el ámbito educativo y, por ende, en el mercado laboral, puede combatir el elitismo establecido en la falsa creencia de la superioridad de ciertos grupos por su origen o nivel educativo. Al facilitar el acceso a la educación superior a estudiantes de grupos marginados, las cuotas pueden desmantelar el elitismo académico, es decir, la diversidad en las universidades cuestiona las concepciones elitistas sobre la competencia y el mérito académico.Pueden también fomentar la inclusión, promoviendo una cultura de inclusión y respeto por la diversidad, valores que se pueden trasladar al ámbito laboral y por último, derribar estereotipos. 
La apertura de las universidades públicas a estudiantes de diversos orígenes y trayectorias educativas enriquece la formación de profesionales y, por ende, diversifica la fuerza laboral. Esta diversidad de perfiles motiva a las empresas a valorar habilidades y competencias más allá del historial académico tradicional, abriendo espacio a la innovación y al crecimiento.Si bien las políticas de cuotas pueden tener un impacto positivo en la reducción de la discriminación en el proceso de contratación, también existen potenciales repercusiones negativas que deben considerarse: 
•	Aspecto positivo: Equidad de oportunidades: Las cuotas pueden actuar como un mecanismo para nivelar el campo de juego, aumentando las oportunidades de empleo para grupos históricamente marginados y combatiendo la discriminación sistémica. 
•	Aspecto negativo: Percepción de desmérito: No obstante, existe el riesgo de que las personas beneficiadas por las cuotas sean percibidas como menos merecedoras de sus puestos, lo que podría generar discriminación durante el proceso de contratación. En este sentido, resulta crucial educar a los empleadores sobre el propósito y los beneficios de estas medidas. 
•	Impacto en las prácticas de contratación: Las empresas que valoran la diversidad e inclusión pueden adoptar prácticas de contratación más equitativas, reduciendo la discriminación y promoviendo una cultura de igualdad de oportunidades. 
",100,1,6.7,7,6.6,2.7,3.6,6.15,4.7,66.35338346
"0fbad75493531eca020a781f1f9bc90afa0f71600552dc3ac44dbe5b647f6226",10,10,7,27,4,"6","8",5,10,10,"43","70","5,7","c7b859a34f55d01dc848b5cb0dbd8a94fd27f1b45c43f029703e8a76a0ab2942","La implementación de la política de cuotas en las universidades públicas brasileñas podría tener un impacto significativo en la reducción del comportamiento elitista a traves de 2 formas:
1. Diversificación del Acceso a la Educación Superior
2. Cambio de Percepciones y Reducción de la Discriminación
Se le entrega mas oportunidades a estos grupos desfavorecidos, mejorando la competitividad del mercado laboral y aumentando la diversidad en el lugar de trabajo, logrando ademas un cambio en los estereotipos preexistentes. La introduccion de esta politica puede resultar sin duda favorable para reducir la discriminacion contra los negros y pueblos indigenas en el proceso de contratacion, pues lograran estar mejor representados, se reducirán sesgos sobre la calidad y talentos de estos grupos y se crearan precedentes positivos a futuro.",100,1,6.5,7,5.7,5.6,5.7,6.3,6,85.78947368
"6fcb9aa52e3614fa7a1989f230f589342fea4b77953406ea6f875df37f039613",10,10,7,27,2,"8","3",7,10,10,"40","67","5,5","845c588bf2421d6d1d051e9c7c16ea498671c2b1a1eeff9384f9513d37e0b10c","Sabemos que la política de cuotas es para alumnos negros, mulatos, indígenas y
procedentes de escuelas públicas. Así, esto funcionaría como señal al ingresar a la
educación superior. Por lo tanto, la política de cuotas afecta desde esta base, donde no
tenemos un comportamiento elitista a priori, pero si el obtener cuota o no da a entender
que pertenecemos a uno de los grupos antes mencionados (negros, mulatos, indígenas, procedentes de escuelas públicas). 

También podemos decir que, se seguiría manifestando una señal que no se destaca por la educación, pero si las características que conllevan al estudiante a obtener cuotas influyen en lo que la sociedad a instaurado por calidad institucional (públicas < privadas).

Lamentablemente, a raíz de estas situaciones surgen una serie de discriminaciones que son importantes de analizar. El proceso de contratación es importante para conseguir un empleo, se suele usar el curriculum como principal instrumento que muestra las principales ""señales"" del futuro empleado, ya sea experiencia laboral, certificados y educación. Este último punto lo podemos relacionar con la temática principal del ejercicio.

No todas las universidades ofrecen becas, y si las ofrecen o no esto no se presenta en el curriculum, pero si se explicita la institución. Así, el sistema de cuotas puede señalizar al estudiante durante su proceso de educación, pero al enfrentarse al proceso de contratación hay más variables que señalizan nuestras posibles habilidades, y que pueden producir discriminación por parte del contratador.

Además esto puede potenciar a los empleadores a considerar otras habilidades como señalización y debido a los avances en las ayudas de ingreso a la universidad, estas políticas podrían tender a disminuir la discriminación y no solo señalizar desde una universidad de mayor calidad.",0,1,7,7,5.5,4.5,6.1,6.25,5.8,83.27067669
"382ee4a133feeaf4ac21fe84abdfd482911ffed7cac1b597e9b44321a896adb6",0,5,7,12,2,"5","10",6,10,10,"43","55","4,7","f400b5407ec562f3f0c94627224a59e04d3db574046d0304eb29e0b1f0746a5a","La política de cuotas en las universidades públicas brasileñas busca promover la igualdad de oportunidades y reducir las desigualdades socioeconómicas y raciales en la educación superior. Basado en los resultados previos, podemos evaluar cómo esta política puede afectar el comportamiento de los empleadores y la discriminación en el proceso de contratación en Brasil.

Impacto en el Comportamiento Elitista de los Empleadores Diversificación de la Fuerza Laboral Educada: Las cuotas permiten que más estudiantes de entornos desfavorecidos, incluidos negros, mulatos, indígenas y aquellos de escuelas públicas, accedan a universidades de alta calidad. Esto genera una fuerza laboral más diversa, desafiando los prejuicios elitistas de los empleadores. 

Reducción del Énfasis en el Origen Escolar: La política de cuotas disminuye la importancia del colegio de procedencia. Los empleadores pueden enfocarse más en la formación universitaria y las competencias profesionales.

Mayor Enfoque en el Mérito Académico y Profesional: Si los graduados de universidades públicas demuestran habilidades y conocimientos equivalentes o superiores a los de otras instituciones, los empleadores podrían priorizar el mérito académico y profesional sobre el origen socioeconómico. 

Impacto en la Discriminación contra Negros e Indígenas Aumento de Oportunidades para Grupos Marginados: Las cuotas ofrecen más oportunidades a estudiantes negros e indígenas para acceder a la educación superior. Esto expone a los empleadores a un grupo más diverso de candidatos calificados, reduciendo prejuicios y discriminación racial.

Cambio de Percepción Social: A medida que más negros e indígenas obtienen títulos de universidades prestigiosas, la percepción social de estos grupos mejora, disminuyendo la discriminación basada en estereotipos negativos y promoviendo una mayor inclusión en el trabajo. 

Fomentar Políticas de Diversidad en las Empresas: La presencia de graduados de diversos orígenes puede motivar a las empresas a adoptar políticas de diversidad e inclusión, beneficiando tanto a individuos como a la cultura organizacional e innovación.",100,1,6.8,6.9,4.7,5,3.8,4.6,4.7,67.59398496
"ffe9e367f728fb31e9d85be20220d30ce9197c389d311153f0f0966aba5a7a10",10,5,7,22,4,"4","7",5,10,10,"40","62","5,1","a56419221529acb5ca76ac855c30d6c99aee101f35ee439a2353292bd0f81f55","A mi juicio, la política de cuotas en las universidades públicas brasileñas podría
reducir el comportamiento elitista de los empleadores al diversificar la composición
de la gente que egresa de la universidad. Pues, al permitir que estudiantes de diversos
orígenes socioeconómicos accedan a la educación superior, podrían aumentar
enormemente sus posibilidades de entrar al mercado laboral. Además, con graduados
de diferentes orígenes demostrando una alta capacidad para realizar su profesión, los
empleadores podrían verse impulsados a valorar las habilidades y el desempeño por
encima del prestigio institucional o el estatus social, disminuyendo así la preferencia
por candidatos que provengan de ambientes elitistas.

La política de cuotas podría disminuir la discriminación contra negros e indígenas en
el proceso de contratación al aumentar su representación en la educación superior y,
consecuentemente, en el mercado laboral. Al acceder a universidades de calidad, estos
grupos de la sociedad podrían demostrar sus capacidades y competir en igualdad de
condiciones con todos los demás, desafiando así los estereotipos negativos y
prejuicios existentes hacia ellos. Además, podría contribuir a sensibilizar a los
empleadores sobre la importancia de la diversidad, promoviendo así prácticas de
contratación más inclusivas y equitativas, que valoren las competencias de los
individuos y no solamente los antecedentes étnicos o raciales. Ser negro o provenir
de un pueblo indígena, no significa que estén incapacitados para trabajar o cumplir
bien sus labores.",100,1,6.3,6.6,5.1,3.6,4.6,4.45,4.5,63.94736842
"845c588bf2421d6d1d051e9c7c16ea498671c2b1a1eeff9384f9513d37e0b10c",10,10,7,27,2,"8","3",7,10,10,"40","67","5,5","6fcb9aa52e3614fa7a1989f230f589342fea4b77953406ea6f875df37f039613","Sabemos que la política de cuotas es para alumnos negros, mulatos, indígenas y
procedentes de escuelas públicas. Así, esto funcionaría como señal al ingresar a la
educación superior. Por lo tanto, la política de cuotas afecta desde esta base, donde no
tenemos un comportamiento elitista a priori, pero si el obtener cuota o no da a entender
que pertenecemos a uno de los grupos antes mencionados (negros, mulatos, indígenas, procedentes de escuelas públicas). 

También podemos decir que, se seguiría manifestando una señal que no se destaca por la educación, pero si las características que conllevan al estudiante a obtener cuotas influyen en lo que la sociedad a instaurado por calidad institucional (públicas < privadas).

Lamentablemente, a raíz de estas situaciones surgen una serie de discriminaciones que son importantes de analizar. El proceso de contratación es importante para conseguir un empleo, se suele usar el curriculum como principal instrumento que muestra las principales ""señales"" del futuro empleado, ya sea experiencia laboral, certificados y educación. Este último punto lo podemos relacionar con la temática principal del ejercicio.

No todas las universidades ofrecen becas, y si las ofrecen o no esto no se presenta en el curriculum, pero si se explicita la institución. Así, el sistema de cuotas puede señalizar al estudiante durante su proceso de educación, pero al enfrentarse al proceso de contratación hay más variables que señalizan nuestras posibles habilidades, y que pueden producir discriminación por parte del contratador.

Además esto puede potenciar a los empleadores a considerar otras habilidades como señalización y debido a los avances en las ayudas de ingreso a la universidad, estas políticas podrían tender a disminuir la discriminación y no solo señalizar desde una universidad de mayor calidad.",0,1,6.6,7,5.5,2.7,4.8,5.35,4.7,66.57894737
"307e9116363012bc21917ab89192d2cc18fa13c1bec3c7f55dd925421d245054",10,5,7,22,10,"6","10",10,10,10,"56","78","6,2","8ebad0f521107a481833561aa0b6d13ed81da6bb389dcdc77ee8c6f3255e9530","Sobre la base de los resultados de los párrafos anteriores, analizamos cómo las políticas de cuotas pueden influir en el comportamiento de las élites y la discriminación de los empleadores en el proceso de contratación.
Reducir el elitismo: las políticas de cuotas pueden aumentar la diversidad en las universidades públicas más prestigiosas. Esto podría alentar a los empleadores a centrarse menos en la escuela y más en el desempeño universitario.
Reducir la discriminación: Al garantizar el acceso a universidades prestigiosas para una proporción significativa de estudiantes de la minoria, las cuotas pueden ayudar a reducir la discriminación en el proceso de admisión al permitir descubrir que estos estudiantes también pueden tener éxito en entornos académicos competitivos.",0,0,5.9,6.5,6.2,3,4.9,5.7,4.9,69.02255639
