"Unnamed..0","EJ.1.A","EJ.1.B","EJ.1.C","Total.E1","EJ.2.A","EJ.2.B","EJ.2.C","EJ.2D","EJ.2E","EJ.2F","Total.E2","Puntaje.total","HW3_grade","answer_1_c","AI","favorable","HW_1","HW_2","HW_3","Midterm_25","Midterm_25.1","Exam_35","Final_grade","Final_grade_excluding_HW_3","average_grade","had_pair","df_fe","numb_tokes","jaccard_similarity"
19,10,7,7,24,5,"4","8",7,10,10,"44","68","5,5","Creo que la política de cuotas podría influir significativamente en la percepción de los
empleadores. Con una diversidad mayor de alumnos en términos de raza y antecedentes educativos, los empleadores podrán valorar más la educación sin hacer distinciones al contratar. Al final, todos habrán recibido la misma educación universitaria, independientemente del colegio de donde provengan, lo que hará que todos sean vistos como bien educados y con capacidades y herramientas similares para desempeñarse en el trabajo. Esto ayudará a reducir el sesgo hacia candidatos de escuelas secundarias prestigiosas.
Además, al aceptar a candidatos más diversos, se fomentará la aparición de una variedad de ideas debido a las diferencias culturales y de pensamiento. Esta diversidad será beneficiosa para las empresas, ya que permitirá enfrentar problemas desde múltiples perspectivas, integrando distintas ideas y encontrando soluciones más innovadoras y efectivas.",100,1,7,6.5,5.5,3.7,5.4,5.85,5.3,75.15037594,75.15037594,1,"df1",153,0
631,10,10,7,27,4,"6","10",6,10,10,"46","73","5,9","La política de cuotas está diseñada para que estudiantes de grupos subrepresentados,
como aquellos de escuelas públicas, comunidades negras e indígenas, puedan acceder a
la educación superior. Esta medida equilibra las oportunidades al ofrecerles una chance
que podrían haber perdido si la competencia se basara solo en notas de corte. 

Al brindar acceso a una educación superior de calidad a un grupo más diverso de
estudiantes, las universidades públicas fomentan la creación de una fuerza laboral más variada. Esto puede llevar a los empleadores a valorar habilidades y competencias por
encima del nombre de la institución educativa del candidato.

Además, cambia las percepciones de prestigio; cuando graduados de distintos orígenes
académicos ingresan al mercado laboral y muestran su capacidad, la idea de que solo los
egresados de colegios prestigiosos pueden tener éxito se debilita. Esto puede disminuir la
dependencia de los empleadores en el historial escolar como principal criterio de
selección.",66,1,6.5,6.5,5.9,4.8,5.8,5.9,5.7,80.67669173,80.67669173,0,"df2",177,2
42,10,10,7,27,2,"8","3",7,10,10,"40","67","5,5","Sabemos que la política de cuotas es para alumnos negros, mulatos, indígenas y
procedentes de escuelas públicas. Así, esto funcionaría como señal al ingresar a la
educación superior. Por lo tanto, la política de cuotas afecta desde esta base, donde no
tenemos un comportamiento elitista a priori, pero si el obtener cuota o no da a entender
que pertenecemos a uno de los grupos antes mencionados (negros, mulatos, indígenas, procedentes de escuelas públicas). 

También podemos decir que, se seguiría manifestando una señal que no se destaca por la educación, pero si las características que conllevan al estudiante a obtener cuotas influyen en lo que la sociedad a instaurado por calidad institucional (públicas < privadas).

Lamentablemente, a raíz de estas situaciones surgen una serie de discriminaciones que son importantes de analizar. El proceso de contratación es importante para conseguir un empleo, se suele usar el curriculum como principal instrumento que muestra las principales ""señales"" del futuro empleado, ya sea experiencia laboral, certificados y educación. Este último punto lo podemos relacionar con la temática principal del ejercicio.

No todas las universidades ofrecen becas, y si las ofrecen o no esto no se presenta en el curriculum, pero si se explicita la institución. Así, el sistema de cuotas puede señalizar al estudiante durante su proceso de educación, pero al enfrentarse al proceso de contratación hay más variables que señalizan nuestras posibles habilidades, y que pueden producir discriminación por parte del contratador.

Además esto puede potenciar a los empleadores a considerar otras habilidades como señalización y debido a los avances en las ayudas de ingreso a la universidad, estas políticas podrían tender a disminuir la discriminación y no solo señalizar desde una universidad de mayor calidad.",0,1,7,7,5.5,4.5,6.1,6.25,5.8,83.27067669,83.27067669,1,"df1",331,0.5
58,10,5,10,25,8,"5","1",5,10,10,"39","64","5,3","La política de cuotas provoca un comportamiento más elitista ya que, ahora la señal que entrega la universidad no es tan ""fiable"". Por los resultados observados los empleadores se concentrarán más en la forma de admisión o en donde se educaron.

Ahora el ser negro o ser perteneciente a un pueblo indígena se asociará a la admisión por cuotas, y como en los resultados se ve que los admitidos por esta vía tienen peor desempeño se les asociará una señal negativa, por la cual podría aumentar la discriminación contra ellos al momento de postular a un empleo.",0,0,6.7,6.5,5.3,4,5.1,5.2,5,71.5037594,71.5037594,0,"df1",107,0
70,10,5,7,22,5,"0","7",10,10,10,"42","64","5,3","La política de cuotas en Brasil tiene implicancias significativas, analizando la base de datos es que se puede concluir la significancia que tiene la política de cuotas en Brasil. Más del 53% de las personas que ingresaron a la universidad el año 2022 se vio afectada por la política de cuotas. Este dato demuestra que la diversificación esta siendo efectiva, por lo que las universidades serán mas representativas de la diversidad de la sociedad y se irán fortaleciendo relaciones entre personas de distintas escuelas y clases socioeconómicas. Dado esta información es que concluyo que si es posible que se vea afectado el comportamiento de los empleadores en Brasil.

Por otro lado esta información también respalda que la discriminación hacia los negros y los pueblos indígenas en el proceso de contratación se verán afectadas. La mayor inclusión de estas personas a la educación superior va a generar que se cambie el prejuicio actual que se tiene sobre ellas. Con el tiempo se generalizará la visión de estas personas como individuos con las mismas capacidades y educación, por lo que se podría concluir que la contratación de una persona negra o indígena no tendría porque estar marcada por ese rasgo, ya que la educación superior que reciben es la misma que la de las personas de una clase socioeconómica mayor. Esta política puede ayudar a que se mejore la reputación intelectual y académica de estos grupos marginados, ya que pueden emerger exitosas personas de estos grupos marginados y el aumento de la diversidad en el mercado laboral será un gran factor que influya en la discriminación hacia ellos.",21,1,5.7,6.2,5.3,4.8,5.2,4.9,5.1,72.33082707,72.33082707,0,"df2",282,3
11,1,1,10,12,4,"6","7",5,10,9,"41","53","4,5","ANALIZANDO EL GRAFICO SE PUEDE INFERIR QUE, AFECTARIA NEGATIVAMENTE EN
LA POLITICA DE CUOTAS CUANTO ESTA ES 0. OSEA CUANDO SE VEA EL NIVEL
SOCIOECONOMICO Y SI ES NEGRO O INDIGENA PARA PODER CREAR UN CONTRATO
PARA CADA TIPO DE ESTUDIANTE NO POR SU CONOCIMIENTO O SI ES DE ALTA
COMPETENCIA, SI NO QUE POR SU ESTATUS SOCIAL, DADO QUE LOS NEGROS E
INDIGENAS EN BRASIL SON MAS CONCURRENTES EN COLEGIOS PUBLICOS O
COLEGIOS QUE NO SON TAN BUENOS, RECAERIA EN ELLOS TODA LA DECISION POR
PARTE DE LOS JEFES YA QUEE LOS EXCLUIRIAN DE SU DECISION DE CONTRATACION.",0,0,5.1,4.9,4.5,2.9,4,5.15,4.3,60.56390977,60.56390977,0,"df1",112,0
65,10,4,7,21,4,"6","10",10,10,10,"50","71","5,7","Las políticas de cuotas en las universidades públicas brasileñas podrían ayudar en lo siguiente:

- La política permite que exista un número mayor de estudiantes de diferentes condiciones socioeconómicas y de diferentes etnias en las universidades públicas de alta calidad. Al haber un número mayor de estudiantes negros e indígenas en universidades públicas de calidad, aumenta el acceso de estos grupos a educación superior de mejor calidad, lo que mejora sus oportunidades de empleo.

- Esta política reduce los prejuicios negativos que algunos empleadores podrían tener. Al ver a personas de estas procedencias en el mercado laboral disminuirán los prejuicios y aumentarán las prácticas inclusivas.

- Se genera un cambio cultural dentro de las empresas, lo que aumenta la inclusión y disminuye la discriminación hacia personas de otras etnias o de otras procedencias económicas.",100,1,6.3,6.9,5.7,4,5.8,6,5.5,78.34586466,78.34586466,0,"df2",149,2.5
241,10,5,10,25,10,"6","10",7,10,10,"53","78","6,2","Basándonos en los resultados anteriores de las preguntas 1. A) y B) en relación a las diferencias promedio en las notas de corte y teniendo en cuenta que la nota de corte promedio es superior para los alumnos de amplia competencia, en comparación con los alumnos beneficiarios de una cuota. Esto implica que los alumnos de amplia competencia, generalmente, requieren puntajes mas altos para ser admitidos en los mismos cursos que los alumnos beneficiados. Por otra parte, la política de cuotas implementada en Brasil asegura que el 50% de los cupos de admisión en los cursos, están asegurados/reservados, para alumnos que provienen de escuelas públicas y dentro de este 50%, hay fracciones específicas para alumnos negros, mulatos, indígenas, etc. Es por este sistema, que podemos observar ciertas implicancias, que serán abordadas a continuación:

1. En relación al comportamiento elitista de los empleadores:
Si es que los estudiantes beneficiados de cuotas, demuestran que logran un buen desempeño, esto puede producir, que cambien los prejuicios y disminuya un poco el comportamiento elitista por parte de los empleadores, ya que, esto podría demostrar que las capacidades no dependen
únicamente del colegio al cual asistió el alumno y de esta manera se podrían empezar a valorar más los resultados académicos universitarios. Con este sistema de cuotas, como pueden ingresar mas alumnos beneficiados a las universidades, estas pueden presentar una mayor diversidad de alumnos, y gracias a esto generar enseñanzas distintas a cuando no estaba este sistema, es por esto, que se podría reducir el sesgo que realizan los empleadores en relación con los alumnos asistentes a colegios privados y más caros, debido a que se puede tomar más en cuenta las habilidades y capacidades adquiridas en la educación superior.

2. Efecto en la discriminación contra los negros y los pueblos indígenas en los procesos de contratación:
Como el sistema de cuotas le otorga más oportunidades de acceder a una educación superior de calidad, en el caso de los negros e indígenas, estos van a estar más nivelados con el resto de las personas a la hora de entrar al mercado laboral. Todo esto, debido a que pueden tener títulos de universidades más prestigiosas, que antes era más difícil de obtener, lo que puede hacer que haya menores barreras de discriminación en relación a este entorno. Al incluir aún más a los negros e indígenas en las universidades de calidad, pueden eventualmente producir una mayor inclusión de ellos en el mercado laboral, reduciendo la discriminación en relación a los empleos. Esto, debido a que al tener mayor contacto y visibilidad con ellos, se pueden ir reduciendo ciertos estereotipos. Además, con el sistema de cuotas se promueve la inclusión en la educación, por lo que, puede llevar a que también se promueva más en el mercado laboral y los empleadores valoren más la diversidad. Hay que tener en cuenta, que para ambas preguntas también podría suceder el caso contrario, en el caso del impacto en el comportamiento elitista de los empleadores, podría suceder, que aumente la tendencia de considerar los colegios en los procesos de contratación, debido a que como las cuotas aseguran que estudiantes de diversas procedencias tienen acceso a este nivel alto de universidades, recurren a los colegios como método de diferenciación para evaluar a los candidatos. En relación al impacto en la discriminación, si es que los empleadores continúan analizando el colegio de procedencia para la selección, las barreras de discriminación se podrían mantener, enfrentando desventajas en el mercado laboral y reduciendo las posibilidades de empleo.",0,0,6.6,6.7,6.2,3.6,5.8,5.6,5.3,74.81203008,74.81203008,1,"df2",658,2
51,10,10,7,27,6,"6","10",5,10,3,"40","67","5,5","Basado en los resultados obtenidos, es posible que la política de cuotas en las universidades brasileñas tengan un impacto positivo en la reducción del comportamiento elitista por parte de los empleadores. Al garantizar que un mayor número de estudiantes de diversas etnias y procedencias socioeconómicas acceden a una educación superior de calidad, se espera que los empleadores vean un grupo más diverso de candidatos graduados de estas instituciones prestigiosas. Esto podría ayudar a disminuir la discriminación basada en la escuela de procedencia y aumentar la valoración de las competencias y habilidades durante la educación superior. Además, al permitir que más estudiantes negros e indígenas accedan a la educación superior, la política de cuotas puede ayudar a reducir la discriminación contra estos grupos en el proceso de contratación. Con mayor representación en las universidades públicas de alto nivel, estos grupos podrían enfrentar menos prejuicios y ser elevados más equitativamente por sus méritos académicos y profesionales.",100,1,6.7,6.4,5.5,3.3,5.5,4.1,4.6,64.5112782,64.5112782,1,"df2",164,6.5
9,10,5,7,22,4,"7","10",7,10,10,"48","70","5,7","La política de cuotas en las universidades públicas podría afectar en varios puntos el tipo de comportamiento elitista por parte de los empleadores en Brasil.

En primer lugar, tenemos que esta política podría reducir el comportamiento elitista. Esto se debe a que las cuotas pueden nivelar el campo, equilibrando la educación superior. Al entregar más parejos, el conjunto de estudiantes va a estar más diversificado, representando de mejor manera la sociedad en la que vivimos.

En segundo lugar, la política de cuotas va a reducir la discriminación en contra de los negros y pueblos indígenas. Esto va a permitir que estos estudiantes tenga una mayor representación y van a disminuir las barreras culturales. Ambas cosas van a permitir mayores oportunidades en el mercado laboral.

Por lo tanto, la política de cuotas podría tener un gran efecto positivo en la reducción del comportamiento elitista y en la reducción en la discriminación en contra de los negros y de los pueblos indígenas en el proceso de contratación.",100,1,6.9,6.9,5.7,3.6,NA,4.8,4.8,67.21804511,67.21804511,0,"df1",185,6
